field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juvenile minnow,"minnow, juvenile",,Cyprinidae,Cypriniformes,Pisces,Cyprinidae,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheepshead minnow,"minnow, sheepshead ",Cyprinodon variegatus,Cyprinodontidae,Cyprinodontiformes,Pisces,Cyp var,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped burr,"burrfish, striped ",Chilomycterus schoepfi,Diodontidae,Tetraodontiformes,Pisces,Chi sch,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porcupinefish,porcupinefish,Diodon holocanthus,Diodontidae,Tetraodontiformes,Pisces,Dio hol,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharksucker,sharksucker,Echeneis naucrates,Echeneidae,Perciformes,Pisces,Ech nau,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fat sleeper,"sleeper, fat",Dormitator maculatus,Eleotridae,Perciformes,Pisces,Dor mac,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladyfish,ladyfish,Elops saurus,Elopidae,Elopiformes,Pisces,Elo sau,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay anchovy,"anchovy, bay",Anchoa mitchilli,Engraulidae,Clupeiformes,Pisces,Anc mit,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchovy,anchovy spp.,Anchoa spp.,Engraulidae,Clupeiformes,Pisces,Anc spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spadefish,spadefish,Chaetodipterus faber,Ephippidae,Perciformes,Pisces,Cha fab,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cornetfish,cornetfish spp.,Fistularia spp.,Fistulariidae,Syngnathiformes,Pisces,Fis spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluespotted cornetfish,"cornetfish, bluespotted",Fistularia tabacaria,Fistulariidae,Sygnathiformes,Pisces,Fis tab,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mummichog,mummichog,Fundulus heteroclitus,Fundulidae,Cyprinodontiformes,Pisces,Fun het,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped killifish,"killifish, striped",Fundulus majalis,Fundulidae,Cyprinodontiformes,Pisces,Fun maj,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longnose killifish,"killifish, longnose",Fundulus similis,Fundulidae,Cyprinodontiformes,Pisces,Fun sim,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
killifish,killifish spp.,Fundulus spp.,Fundulidae,Cyprinodontiformes,Pisces,Fun spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainwater killifish,"killifish, rainwater",Lucania parva,Fundulidae,Cyprinodontiformes,Pisces,Luc par,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotfin mojarra,"mojarra, spotfin",Eucinostomus argenteus,Gerreidae,Perciformes,Pisces,Euc arg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver jenny,"mojarra, silver jenny",Eucinostomus gula,Gerreidae,Perciformes,Pisces,Euc gula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tidewater mojarra,"mojarra, tidewater ",Eucinostomus harengulus,Gerreidae,Perciformes,Pisces,Euc har,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big eye mojarra,"mojarra, big eye",Eucinostomus havana,Gerreidae,Perciformes,Pisces,Euc hav,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucinostomus spp,mojarra spp.,Eucinostomus spp.,Gerreidae,Perciformes,Pisces,Euc spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mojarra,,,Gerreidae,Perciformes,Pisces,Gerreidae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clingfish,clingfish,Gobiesox maeandricus,Gobiesocidae,Gobiesociformes,Pisces,Gob mae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skilletfish,skilletfish,Gobiesox strumosus,Gobiesocidae,Gobiesociformes,Pisces,Gob str,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darter goby,"goby, darter",Ctenogobius boleosoma,Gobiidae,Perciformes,Pisces,Cte bol,,,aka: Gobionellus boleosoma,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked goby,"goby, naked ",Gobiosoma bosc,Gobiidae,Perciformes,Pisces,Gob bos,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highfin goby,"goby, highfin",Gobionellus oceanicus,Gobiidae,Perciformes,Pisces,Gob oce,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code goby,"goby, code",Gobiosoma robustum,Gobiidae,Perciformes,Pisces,Gob rob,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goby,"goby, unid spp",,Gobiidae,Perciformes,Pisces,Gobiidae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobionellus,goby spp.,Gobionellus spp.,Gobiidae,Perciformes,Pisces,Gobion spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
